Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
830,37,34,26,18,40,11
831,12,36,24,16,43,10
832,41,2,27,28,30,42
833,6,48,34,12,22,38
834,38,28,6,2,22,23
835,9,29,45,5,3,11
836,35,31,7,27,26,19
837,48,21,24,4,39,1
838,47,8,6,15,11,26
839,4,40,34,17,42,49
840,7,11,12,10,46,37
841,6,34,36,9,26,16
842,6,38,47,34,32,14
843,24,44,37,45,8,41
844,44,20,48,49,1,25
845,17,9,44,21,32,35
846,41,8,38,21,9,36
847,32,39,17,19,5,47
848,2,41,29,43,44,48
849,16,25,14,36,8,33
850,29,38,44,27,18,17
851,11,2,34,36,48,8
852,27,23,37,4,30,8
853,22,49,18,7,47,6
854,38,20,25,40,4,3
855,22,29,11,9,2,39
856,15,7,6,24,34,28
857,41,11,9,45,42,19
858,41,12,46,15,40,37
859,7,4,10,32,46,45
860,17,5,25,20,43,23
861,13,21,49,3,40,43
862,23,46,18,17,47,15
863,43,23,25,3,22,17
864,15,32,21,7,23,40
865,28,30,49,29,34,25
866,8,5,36,3,2,41
867,26,44,7,16,25,11
868,41,10,28,36,27,16
869,6,26,13,24,47,34
870,44,2,24,15,48,33
871,15,39,44,36,19,33
872,33,32,37,41,8,45
873,4,46,28,30,49,17
874,14,49,36,11,35,8
875,7,31,35,12,48,44
876,21,41,15,1,37,34
877,25,36,29,49,47,31
878,35,10,3,33,48,34
879,17,13,35,9,30,39
880,34,26,2,16,36,43
881,40,19,11,37,20,6
882,32,1,49,40,30,20
883,41,36,10,20,17,12
884,37,45,4,25,5,6
885,39,32,49,24,25,15
886,48,17,49,19,32,29
887,25,46,15,4,7,22
888,43,16,6,29,25,37
889,36,44,28,23,25,21
890,13,37,32,21,7,33
891,1,40,42,47,25,35
892,46,26,43,30,38,21
893,26,48,8,2,39,25
894,46,6,20,45,32,24
895,32,40,22,14,9,18
896,17,32,49,37,35,41
897,8,34,9,35,18,40
898,12,10,1,3,47,35
899,3,45,22,48,10,13
900,28,21,17,23,4,48
901,11,34,30,3,9,5
902,33,45,25,10,4,48
903,2,33,26,24,12,16
904,43,24,39,4,32,7
905,1,45,43,48,9,21
